name,numProj,degree,intermediated
FORSCHUNGSZENTRUM JUELICH GMBH,0.0,525.0,2
UNIVERSITY OF SOUTHAMPTON,0.0,529.0,4
CHALMERS TEKNISKA HOEGSKOLA AB,0.0,604.0,3
EIDGENÃ–SSISCHE TECHNISCHE HOCHSCHULE ZÃœRICH,0.0,513.0,4
UPPSALA UNIVERSITET,0.0,463.0,2
FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,0.0,473.0,4
"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE",0.0,633.0,3
"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",0.0,394.0,2
FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E V,0.0,1944.0,123
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,0.0,1591.0,33
"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",0.0,727.0,7
POLITECNICO DI MILANO,0.0,467.0,10
HELSINGIN YLIOPISTO,0.0,487.0,4
POLITECNICO DI TORINO,0.0,488.0,3
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,0.0,436.0,2
VTT TECHNICAL RESEARCH CENTRE OF FINLAND,0.0,838.0,15
UNIVERSITEIT GENT,0.0,421.0,4
"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",0.0,382.0,3
NATURAL ENVIRONMENT RESEARCH COUNCIL,0.0,395.0,2
WAGENINGEN UNIVERSITEIT,0.0,675.0,18
RHEINISCH WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN,0.0,460.0,4
CONSIGLIO NAZIONALE DELLE RICERCHE,0.0,1235.0,21
JOZEF STEFAN INSTITUTE,0.0,403.0,4
PAUL SCHERRER INSTITUT,0.0,244.0,1
KUNGLIGA TEKNISKA HOEGSKOLAN,0.0,604.0,4
NEDERLANDSE ORGANISATIE VOOR TOEGEPAST NATUURWETENSCHAPPELIJK ONDERZOEK  TNO,0.0,926.0,17
UNIVERSITE PIERRE ET MARIE CURIE  PARIS 6,0.0,350.0,1
UNIVERSITAET KARLSRUHE,0.0,649.0,3
DEUTSCHES ZENTRUM FUER LUFT  UND RAUMFAHRT EV,0.0,882.0,20
"AGENZIA NAZIONALE PER LE NUOVE TECNOLOGIE, L'ENERGIA E LO SVILUPPO ECONOMICO SOSTENIBILE",0.0,320.0,2
UNIVERSITEIT UTRECHT,0.0,387.0,1
MAX PLANCK GESELLSCHAFT ZUR FOERDERUNG DER WISSENSCHAFTEN E V,0.0,682.0,7
UNIVERSITETET I OSLO,0.0,327.0,0
UNIVERSITAET STUTTGART,0.0,465.0,4
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,0.0,507.0,4
THE UNIVERSITY OF BIRMINGHAM,0.0,388.0,0
THE UNIVERSITY OF EDINBURGH,0.0,527.0,4
KOBENHAVNS UNIVERSITET,0.0,427.0,3
UNIVERSITAET ZUERICH,0.0,352.0,2
UNIVERSITY COLLEGE LONDON,0.0,614.0,9
SCIENCE AND TECHNOLOGY FACILITIES COUNCIL,0.0,313.0,0
THE UNIVERSITY OF MANCHESTER,0.0,692.0,6
THE UNIVERSITY OF NOTTINGHAM,0.0,381.0,2
COMMISSION OF THE EUROPEAN COMMUNITIES  DIRECTORATE GENERAL JOINT RESEARCH CENTRE  JRC,0.0,507.0,6
KAROLINSKA INSTITUTET,0.0,490.0,7
INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE,0.0,529.0,12
KATHOLIEKE UNIVERSITEIT LEUVEN,0.0,795.0,12
ALMA MATER STUDIORUM UNIVERSITA DI BOLOGNA,0.0,462.0,1
INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE,0.0,436.0,3
STICHTING VU VUMC,0.0,387.0,2
THE UNIVERSITY OF SHEFFIELD,0.0,415.0,3
UNIVERSITY OF BRISTOL,0.0,297.0,1
AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,0.0,931.0,14
LUNDS UNIVERSITET,0.0,578.0,4
TECHNISCHE UNIVERSITAET DRESDEN,0.0,427.0,3
AARHUS UNIVERSITET,0.0,445.0,2
UNIVERSIDAD POLITECNICA DE MADRID,0.0,572.0,4
TECHNISCHE UNIVERSITAET MUENCHEN,0.0,415.0,2
TECHNISCHE UNIVERSITAET WIEN,0.0,328.0,4
TECHNISCHE UNIVERSITEIT DELFT,0.0,562.0,4
TECHNISCHE UNIVERSITEIT EINDHOVEN,0.0,376.0,3
DANMARKS TEKNISKE UNIVERSITET,0.0,822.0,12
UNIVERSITY OF LEEDS,0.0,415.0,2
KING'S COLLEGE LONDON,0.0,422.0,6
FUNDACION TECNALIA RESEARCH & INNOVATION,0.0,669.0,16
COMMISSARIAT A L' ENERGIE ATOMIQUE,0.0,1164.0,16
