name,numProj,degree,intermediated,country,new_org_id
OXFORD INSTRUMENTS NANOTECHNOLOGY TOOLS LIMITED,2.0,72.0,0,UK,959334463
UNIVERSITE DE GENEVE,28.0,130.0,1,CH,999974650
AIXTRON LIMITED,3.0,73.0,0,UK,953168173
FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,28.0,87.0,0,IT,999596447
AIRBUS OPERATIONS SL,3.0,74.0,0,ES,999944095
THALES SA,8.0,79.0,0,FR,999751938
TECHNISCHE UNIVERSITAET DRESDEN,65.0,145.0,1,DE,999897729
Asociacion - Centro de Investigacion Cooperativa en Nanociencias - CIC NANOGUNE,6.0,73.0,0,ES,999473160
RIJKSUNIVERSITEIT GRONINGEN,43.0,112.0,0,NL,999989782
POLITECNICO DI MILANO,86.0,178.0,4,IT,999879881
UNIVERSITY COLLEGE LONDON,168.0,214.0,5,UK,999975620
TECHNOLOGICAL EDUCATIONAL INSTITUTE OF CRETE,5.0,73.0,0,EL,999440180
MAX PLANCK GESELLSCHAFT ZUR FOERDERUNG DER WISSENSCHAFTEN E.V.,151.0,217.0,1,DE,999990267
CENTRO DE INVESTIGACION COOPERATIVADE ENERGIAS ALTERNATIVAS FUNDACION,5.0,76.0,0,ES,962434389
DANMARKS TEKNISKE UNIVERSITET,84.0,223.0,2,DK,999990655
UNIVERSITAET ZUERICH,38.0,132.0,0,CH,999976396
UNIVERSITE DES SCIENCES ET TECHNOLOGIES DE LILLE - LILLE I,12.0,79.0,0,FR,999899378
INSTYTUT TECHNOLOGII MATERIALOW ELEKTRONICZNYCH,3.0,72.0,0,PL,999509729
UMEA UNIVERSITET,9.0,72.0,0,SE,999881821
"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE",185.0,174.0,3,UK,999977172
AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,158.0,335.0,3,ES,999991722
TECHNISCHE UNIVERSITEIT DELFT,105.0,160.0,3,NL,999977366
TECHNISCHE UNIVERSITAET MUENCHEN,72.0,139.0,1,DE,999977463
LINKOPINGS UNIVERSITET,30.0,91.0,0,SE,999852236
GESELLSCHAFT FUR ANGEWANDTE MIKRO UND OPTOELEKTRONIK MIT BESCHRANKTERHAFTUNG AMO GMBH,6.0,76.0,0,DE,999796558
STMICROELECTRONICS SRL,16.0,84.0,1,IT,999977657
STICHTING KATHOLIEKE UNIVERSITEIT,60.0,135.0,0,NL,999992110
POLITECNICO DI TORINO,47.0,110.0,1,IT,999977754
COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,171.0,363.0,13,FR,999992401
NPL MANAGEMENT LIMITED,9.0,78.0,2,UK,999920330
PANEPISTIMIO IOANNINON,11.0,74.0,0,EL,999852818
FUNDACIO INSTITUT CATALA DE NANOCIENCIA I NANOTECNOLOGIA,9.0,79.0,0,ES,999606923
TECHNISCHE UNIVERSITAET HAMBURG-HARBURG,5.0,74.0,0,DE,999838753
KAROLINSKA INSTITUTET,69.0,178.0,2,SE,999978530
STIFTELSEN CHALMERS INDUSTRITEKNIK,2.0,72.0,0,SE,998006908
NOKIA R&D (UK) LIMITED,2.0,72.0,0,UK,949155865
UNIVERSITAET REGENSBURG,6.0,76.0,0,DE,999868629
IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE,147.0,173.0,5,UK,999993468
CHRISTIAN-ALBRECHTS-UNIVERSITAET  ZU KIEL,15.0,79.0,0,DE,999839529
EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH,97.0,225.0,1,CH,999979015
THE UNIVERSITY OF MANCHESTER,88.0,181.0,1,UK,999903840
CONSIGLIO NAZIONALE DELLE RICERCHE,141.0,352.0,5,IT,999979500
UNIVERSIDAD DE CASTILLA - LA MANCHA,12.0,91.0,1,ES,999840208
TECHNISCHE UNIVERSITAET WIEN,58.0,104.0,1,AT,999979888
REPSOL SA,4.0,74.0,0,ES,999768913
AVANZARE INNOVACION TECNOLOGICA SL,6.0,76.0,0,ES,997826294
CHALMERS TEKNISKA HOEGSKOLA AB,59.0,132.0,3,SE,999980373
UNIVERSITAET HAMBURG,19.0,92.0,0,DE,999905101
LANCASTER UNIVERSITY,18.0,80.0,0,UK,999840984
UNIVERSITE CATHOLIQUE DE LOUVAIN,34.0,103.0,0,BE,999980664
FRIEDRICH-ALEXANDER-UNIVERSITAET ERLANGEN NUERNBERG,28.0,88.0,0,DE,999995408
UNIVERSIDADE DO MINHO,24.0,112.0,0,PT,999995505
ALBERT-LUDWIGS-UNIVERSITAET FREIBURG,19.0,81.0,0,DE,999841760
FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS,70.0,156.0,4,EL,999995893
UNIVERSITA DEGLI STUDI DI TRIESTE,6.0,74.0,0,IT,999842051
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,350.0,457.0,11,FR,999997930
Sabanci University,10.0,81.0,0,TR,999856892
RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN,59.0,136.0,1,DE,999983962
UNIVERSITAT BASEL,18.0,87.0,0,CH,999907914
FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV,284.0,471.0,48,DE,999984059
KARLSRUHER INSTITUT FUER TECHNOLOGIE,69.0,183.0,5,DE,990797674
"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",169.0,192.0,2,UK,999984350
Graphenea S.A.,6.0,73.0,0,ES,971995582
GRUPO ANTOLIN-INGENIERIA SA,5.0,74.0,0,ES,998785721
FUNDACIO INSTITUT DE CIENCIES FOTONIQUES,31.0,87.0,1,ES,999619436
VARTA MICRO INNOVATION GMBH,4.0,74.0,0,AT,969322456
"THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN",47.0,97.0,0,IE,999845446
UNIVERSITAT AUTONOMA DE BARCELONA,28.0,92.0,2,ES,999986484
Teknologian tutkimuskeskus VTT Oy,87.0,205.0,8,FI,932760440
UNIVERSITE DE STRASBOURG,15.0,78.0,0,FR,996569950
NOKIA OYJ,2.0,72.0,0,FI,999912085
ALCATEL-LUCENT DEUTSCHLAND AG,12.0,94.0,0,DE,999912376
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,73.0,106.0,2,CH,999973971
UNIVERSITAET BREMEN,29.0,128.0,0,DE,999987454
TECHNISCHE UNIVERSITAET CHEMNITZ,6.0,76.0,0,DE,999877844
"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN",56.0,116.0,1,IE,999974359
FONDAZIONE BRUNO KESSLER,19.0,101.0,0,IT,999625450
AALTO-KORKEAKOULUSAATIO,41.0,118.0,2,FI,991256096
